"0000 - US president","0001 - US senate","0002 - governor","0003 - County Clerk","0004 - Question 1 - should the starting time of the annual town meeting be moved to 6:30PM?"
de3d4d2d506a2af28cfa047e44adec58d1a2bfed,cdb82385949b3a97ff9dc0bf406af73ddce74f7b,892735beb31544cdf7f0a6c3746dc0c71d406434,452514388a16aa14409d3085042523fab379eeb4,64b72d95bfa2d509d8785afe3e45e165775c3c81
7d947965a8f52dcce015e847509cf0d9d5324ec9,ca047f4da4fe6bb5e41b2ef54f489c2579439d59,eab9b168a11001a5e11a863f31d178d3a3685f1b,e22d02bd23c1d9258a4d711f966993638fed786c,aeac8adf121fe55339dbcb6acda0f979987af959
a9041f408e3060ee15a6ec21dea8d7a5bb5fdc6f,239aa38cd09d7872eda9a33c40a6bd309f09aeb8,b362238c1ed68cb139fc15d1d5b511cfb27787f9,52898f49245ab510e3ac0af70a4d82919b216589,201af09015da31f8f3643c51e44834ecc28d9ede
408258409ee4f28e2b4d4f95c5a775047aecdeff,59b5d60409c00e0c928b4dd0e2d4c332c7cf0bfd,32f95d1cd4ccad5a081398560c7582119684f4c2,90d742c21a24eb6cf256034356fb9fe6e0c3db05,6b3badd633b75e64bf88c4807625b66df324ef9e
758687986af791566d8a50630ceddbfa058b3187,feb883fe297c18061c1a52eea7ad914483a36b45,b718b87bc151c2e4e84e0d63b09af9a7eee98ab8,76a9585c63123254aef494160b2e73287a90a25a,573a1679b4c2e4dfc2b3781bf49f6878fda32ceb
cfe3543ecd36cb6264e4b9008dfcccda0b198de7,c1e98c8e1fdbf3a0d6a49482b100d2b10e735f03,24bed18905794c840ef9a5d78778a68b70e88219,1219f57f38077bc408fa7fdc0625a0f7df1667a4,b198e3ff22ae18edd6a3ba118e94ddca199b5dc4
10376a8c042b346251f46d5e5c57c54b42df01f5,99a49c095006eef70c97571e047bef2710920694,69c3d37e8469a2642746c201a07d3afe7bea74fe,d749c6230b632dcede90d310b7e20740b2e7d4be,af88c339a1ce37aa0b0bc76f547cffe56e585b41
a2ec253fe9d1a1ae1425bcc1c77fb2b0fdd8064c,85ea9d032d392f8fb889ba011af649813c710f95,b019788a11ca1a478b155080db61cfad9f75bfd7,ef7bb75e544c9914ecd31ce04f4c41d16a92485f,ddfd6d74fdc181c8467a040c3d40d1118cbc41a8
dcda1142758d2fa851fcad6fd244f3c9b719a8ed,4e8f069f0ca913171ec9a77ab204d82d16cccb05,f93941212bd610fae6bdd931b461b5a6f3cd1259,8f0ce4e850f374978140960509288549b21cbf9d,d21ac8978a7f33d6436450f9484091fee0d96ac0
cc44dfec25517ee2a2551c1d4bb68a09f3aa14b9,c7e3e0d9c4bd4c4028ee1f4457a3005d1e721271,c2ff0c1ee3067370d56b64eb65fb1a31c0420905,387895da9eaea5b7bce6d032f4812cfd3a7a11a7,acbd21fd3c41ee4afdfcb4778fc79b8279cbc64e
